Model,CV_Recall_Mean,CV_Recall_Std,Test_Recall,Test_Precision,Test_F1,Test_AUC_ROC,Test_MCC
Logistic Regression,0.9153846153846155,0.02977991690629803,0.3333333333333333,0.10294117647058823,0.15730337078651685,0.6561027141231919,0.07589711323663725
XGBoost,0.9923076923076923,0.004983719568243871,0.23809523809523808,0.25,0.24390243902439024,0.6734926052332196,0.19119024061822276
Neural Network,0.9982905982905983,0.0034188034188034067,0.14285714285714285,0.3,0.1935483870967742,0.5997074597757192,0.16925083958036338
Random Forest,0.9811965811965813,0.00792616965426985,0.14285714285714285,0.5,0.2222222222222222,0.7669429546562652,0.2419890517607367
Gradient Boosting,0.9923076923076923,0.005669444086077623,0.047619047619047616,0.25,0.08,0.6552901023890785,0.08326711849049323
SVM,0.005982905982905984,0.005796863233440401,0.0,0.0,0.0,0.30797984722899396,0.0
